,unfamiliar FD vs UD - yelgrn,pair4,tutor vs mate,unfamiliar FD vs UD - blk17,pair5,pair1,misfit,unfamiliar FD vs UD - yelred,pair3,unfamiliar FD vs UD - bkor,familiar FD vs UD,fam vs unfam,pair2,con vs het
skyyel,0,0,0,0,0,0,1,1,0,0,0,0,0,0
testing,0,0,0,0,0,0,0,0,0,0,0,0,0,1
w11pu92,0,0,0,0,0,0,4,0,0,0,1,0,0,0
w71,0,0,0,0,0,0,6,0,0,0,0,0,0,0
wh13pu94,0,0,0,0,0,0,6,0,0,1,0,3,1,0
wh13pu95,0,0,0,0,0,0,1,0,0,0,0,0,0,0
wh141gy171,0,0,0,0,0,0,2,0,0,0,2,0,0,0
wh142gy172,0,0,0,0,0,0,5,0,0,0,2,0,0,0
wh27wh28,0,0,0,0,0,0,3,0,0,2,0,0,1,5
wh36pi46,0,0,0,0,0,0,0,0,0,0,0,1,0,0
wh65gy55,0,0,0,0,0,0,1,0,0,0,2,2,0,0
y34or157,0,0,0,0,0,0,5,0,0,0,0,0,0,0
y56,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ye72gy52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0
