bird_played,song_played
yelred_UD,yelred_undir3.wav
yelred_UD,yelred_undir2.wav
yelred_UD,yelred_undir7.wav
yelred_UD,undmotif_yelred.20080610.0032.wav
yelred_UD,undmotif_yelred.20080610.0082.wav
yelred_UD,undmotif_yelred.20080610.0072.wav
yelred_UD,undmotif_yelred.20080612.0512.wav
yelred_UD,undmotif_yelred.20080611.0203.wav
yelred_UD,undmotif_yelred.20080611.0665.wav
yelred_UD,undmotif_yelred.20080610.0094.wav
yelred_UD,undmotif_yelred.20080610.0092.wav
yelred_UD,undmotif_yelred.20080610.0044.wav
yelred_UD,undmotif_yelred.20080611.0098.wav
yelred_UD,undmotif_yelred.20080611.0124.wav
yelred_UD,undmotif_yelred.20080611.0009.wav
yelred_UD,undmotif_yelred.20080611.0031.wav
yelred_UD,undmotif_yelred.20080611.0015.wav
yelred_UD,undmotif_yelred.20080611.0369.wav
yelred_UD,undmotif_yelred.20080611.0406.wav
yelred_UD,undmotif_yelred.20080611.0521.wav
yelred_UD,undmotif_yelred.20080611.0027.wav
yelred_UD,undmotif_yelred.20080610.0049.wav
yelred_UD,yelred_undir5_copy.wav
yelred_UD,yelred_undir6_copy.wav
yelred_UD,yelred_undir7_copy.wav
bl11pu3_FD,Copy_of_norm_bllpu3E_January_15_2018_49397668.wav
bl11pu3_FD,Copy_of_norm_bllpu3E_January_15_2018_49628608.wav
bl11pu3_FD,norm_bllpu3E_January_15_2018_48778438.wav
bl11pu3_FD,norm_bllpu3E_January_15_2018_48791897.wav
bl11pu3_FD,norm_bllpu3E_January_15_2018_49397668.wav
bl11pu3_FD,norm_bllpu3E_January_15_2018_49408348.wav
bl11pu3_FD,norm_bllpu3E_January_15_2018_49614175.wav
bl11pu3_FD,norm_bllpu3E_January_15_2018_49628608.wav
bl11pu3_FD,norm_bllpu3E_January_16_2018_49051158.wav
bl11pu3_FD,norm_bllpu3E_January_16_2018_49063419.wav
bl11pu3_FD,norm_bllpu3E_January_16_2018_49405898.wav
bl11pu3_FD,norm_bllpu3E_January_16_2018_49619598.wav
bl11pu3_FD,norm_bllpu3E_January_16_2018_49961949.wav
bl11pu3_FD,bllpu3E_January_15_2018_48778438.wav
bl11pu3_FD,bllpu3E_January_15_2018_48791897.wav
bl11pu3_FD,bllpu3E_January_15_2018_48822357.wav
bl11pu3_FD,bllpu3E_January_15_2018_49158647.wav
bl11pu3_FD,bllpu3E_January_15_2018_49161797.wav
bl11pu3_FD,bllpu3E_January_15_2018_49170686.wav
bl11pu3_FD,bllpu3E_January_15_2018_49201468.wav
bl11pu3_FD,bllpu3E_January_15_2018_49397668.wav
bl11pu3_FD,bllpu3E_January_15_2018_49408348.wav
bl11pu3_FD,bllpu3E_January_15_2018_49439677.wav
bl11pu3_FD,bllpu3E_January_15_2018_49448408.wav
bl11pu3_FD,bllpu3E_January_15_2018_49614175.wav
bl11pu3_FD,bllpu3E_January_15_2018_49628608.wav
bl11pu3_FD,bllpu3E_January_15_2018_49659348.wav
bl11pu3_FD,bllpu3E_January_15_2018_49685047.wav
bl11pu3_FD,bllpu3E_January_16_2018_48999059.wav
bl11pu3_FD,bllpu3E_January_16_2018_49051158.wav
bl11pu3_FD,bllpu3E_January_16_2018_49063419.wav
bl11pu3_FD,bllpu3E_January_16_2018_49091825.wav
bl11pu3_FD,bllpu3E_January_16_2018_49374508.wav
bl11pu3_FD,bllpu3E_January_16_2018_49380879.wav
bl11pu3_FD,bllpu3E_January_16_2018_49405898.wav
bl11pu3_FD,bllpu3E_January_16_2018_49594459.wav
bl11pu3_FD,bllpu3E_January_16_2018_49619598.wav
bl11pu3_FD,bllpu3E_January_16_2018_49653928.wav
bl11pu3_FD,bllpu3E_January_16_2018_49955889.wav
bl11pu3_FD,bllpu3E_January_16_2018_49961949.wav
bl11pu3_FD,bllpu3E_January_16_2018_49992789.wav
bl11pu3_FD,directed_bllpu3E_January_15_2018_48778438.wav
